Date,Session,Game Number,Script,Result,PlayerCount,,Session,Game Number,Player,Role,Notes,Alignment Switch,,Session,Game Number,Phase,Player,Action,Target,Note,,Session,Game Number,Vote Number,Player,Target,Total Votes,On the Block,Executed,,Session,Game Number,Vote Number,Player,Voted,Dead,Dead Vote Used
10/04/2022,9,1,Think You Can Clocktower?,Good,9,,9,1,Alejo,ST,,,,9,1,N1,Frosty,Drinking Buddy,Sam,,,9,1,1,Frosty,Frosty,9,TRUE,TRUE,,9,1,1,Weaver,TRUE,FALSE,FALSE
,,,,,,,9,1,Jordan,Ravenkeeper,,FALSE,,9,1,N1,Frosty,Drunk,Sam,,,9,1,2,Tim,Tim,0,FALSE,FALSE,,9,1,1,Jordan,TRUE,FALSE,FALSE
,,,,,,,9,1,Dice,Pit-Hag,,FALSE,,9,1,N1,Sam,Empath Number,1,,,9,1,3,Sam,Sam,1,FALSE,FALSE,,9,1,1,Dice,TRUE,FALSE,FALSE
,,,,,,,9,1,Permzilla,Oracle,,FALSE,,9,1,N1,Lycan,Grandmother Information,Sam|Empath,,,9,1,4,Lycan,Lycan,2,FALSE,FALSE,,9,1,1,Permzilla,TRUE,FALSE,FALSE
,,,,,,,9,1,Electra,Vigormortis,,FALSE,,9,1,D1,Weaver,Gossip,"Between Weaver, Sam, Permzilla and Tim, there is an outsider.",,,9,1,5,Tim,Tim,5,TRUE,TRUE,,9,1,1,Electra,TRUE,FALSE,FALSE
,,,,,,,9,1,Tim,Recluse,,FALSE,,9,1,D1,Frosty,Nomination,Frosty,V1,,9,1,6,Jordan,Electra,2,FALSE,FALSE,,9,1,1,Tim,TRUE,FALSE,FALSE
,,,,,,,9,1,Lycan,Grandmother,,FALSE,,9,1,D1,Tim,Nomination,Tim,V2,,9,1,7,Permzilla,Frosty,2,FALSE,FALSE,,9,1,1,Lycan,TRUE,FALSE,FALSE
,,,,,,,9,1,Sam,Empath,,FALSE,,9,1,D1,Sam,Nomination,Sam,V3,,9,1,8,Jordan,Frosty,6,TRUE,TRUE,,9,1,1,Sam,TRUE,FALSE,FALSE
,,,,,,,9,1,Frosty,Sailor,,FALSE,,9,1,D1,Lycan,Nomination,Lycan,V4,,9,1,9,Jordan,Electra,4,TRUE,TRUE,,9,1,1,Frosty,TRUE,FALSE,FALSE
,,,,,,,9,1,Weaver,Gossip,,FALSE,,9,1,D1,Frosty,Executed,,Protected,,9,1,10,Electra,Jordan,1,FALSE,FALSE,,9,1,2,Lycan,FALSE,FALSE,FALSE
