Date,Session,Game Number,Script,Result,PlayerCount,,Session,Game Number,Player,Role,Notes,Alignment Switch,,Session,Game Number,Phase,Player,Action,Target,Note,,Session,Game Number,Vote Number,Player,Target,Total Votes,On the Block,Executed,,Session,Game Number,Vote Number,Player,Voted,Dead,Dead Vote Used,,,,,,,,,,,,,,,,,,,,,,,
19/06/2022,17,1,Trouble Brewing,Good,10,,17,1,Alejo,ST,,,,17,1,N1,Dice,Minion Information,Standard,,,17,1,1,Tanfana,Jordan,4,FALSE,FALSE,,17,1,1,Dice,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Piranha,Fortune Teller,,FALSE,,17,1,N1,Tim,Minion Information,Standard,,,17,1,2,Jordan,Dice,2,FALSE,FALSE,,17,1,1,Lycan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Permzilla,Soldier,,FALSE,,17,1,N1,Lycan,Demon Information,Standard,,,17,1,3,Permzilla,Weaver,5,TRUE,TRUE,,17,1,1,Planck,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Stephen,Monk,,FALSE,,17,1,N1,Tim,Poisoner Pick,Planck,,,17,1,4,Dice,Permzilla,3,FALSE,FALSE,,17,1,1,Tim,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Weaver,Butler,,FALSE,,17,1,N1,Planck,Poisoned,,,,17,1,5,Jordan,Stephen,1,FALSE,FALSE,,17,1,1,Tanfana,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Jordan,Saint,,FALSE,,17,1,N1,Planck,Librarian Information,Drunk|Jordan|Weaver,,,17,1,6,Lycan,Jordan,2,FALSE,FALSE,,17,1,1,Piranha,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Dice,Baron,,FALSE,,17,1,N1,Piranha,Fortune Teller Information,Jordan|Tanfana|No,,,17,1,7,Planck,Tanfana,4,FALSE,FALSE,,17,1,1,Permzilla,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Lycan,Imp,,FALSE,,17,1,N1,Weaver,Picks Master,Planck,,,17,1,8,Tanfana,Planck,4,FALSE,FALSE,,17,1,1,Stephen,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Planck,Librarian,,FALSE,,17,1,D1,Tanfana,Nomination,Jordan,V1,,17,1,9,Permzilla,Dice,4,FALSE,FALSE,,17,1,1,Weaver,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Tim,Poisoner,,FALSE,,17,1,D1,Jordan,Nomination,Dice,V2,,17,1,10,Piranha,Lycan,5,TRUE,TRUE,,17,1,1,Jordan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Tanfana,Virgin,,FALSE,,17,1,D1,Permzilla,Nomination,Weaver,V3,,,,,,,,,,,17,1,2,Lycan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Bluff,Chef,,,,17,1,D1,Dice,Nomination,Permzilla,V4,,,,,,,,,,,17,1,2,Planck,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Bluff,Slayer,,,,17,1,D1,Weaver,Executed,,,,,,,,,,,,,17,1,2,Tim,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,1,Bluff,Recluse,,,,17,1,N2,Lycan,Demon Kill,Permzilla,Soldier Block,,,,,,,,,,,17,1,2,Tanfana,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,1,N2,Stephen,Monk Protect,Planck,,,,,,,,,,,,17,1,2,Piranha,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,1,N2,Tim,Poisoner Pick,Tanfana,,,,,,,,,,,,17,1,2,Permzilla,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,1,N2,Planck,Healthy,,,,,,,,,,,,,17,1,2,Stephen,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,1,N2,Tanfana,Poisoned,,,,,,,,,,,,,17,1,2,Weaver,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,1,N2,Piranha,Fortune Teller Information,Lycan|Tim|Yes,,,,,,,,,,,,17,1,2,Jordan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,1,D2,Jordan,Nomination,Stephen,V5,,,,,,,,,,,17,1,2,Dice,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,1,D2,Lycan,Nomination,Jordan,V6,,,,,,,,,,,17,1,3,Jordan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,1,D2,Planck,Nomination,Tanfana,V7,,,,,,,,,,,17,1,3,Dice,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,1,D2,Tanfana,Nomination,Planck,V8,,,,,,,,,,,17,1,3,Lycan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,1,D2,Permzilla,Nomination,Dice,V9,,,,,,,,,,,17,1,3,Planck,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
