Date,Session,Game Number,Script,Result,PlayerCount,,Session,Game Number,Player,Role,Notes,Alignment Switch,,Session,Game Number,Phase,Player,Action,Target,Note,,Session,Game Number,Vote Number,Player,Target,Total Votes,On the Block,Executed,,Session,Game Number,Vote Number,Player,Voted,Dead,Dead Vote Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/06/2022,18,3,Trouble Brewing,Evil,11,,18,3,Lycan,ST,,,,18,3,N1,Jon,Minion Information,Standard,,,18,3,1,Jordan,Tanfana,5,FALSE,FALSE,,18,3,1,Lyphoon,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,3,Alejo,ST,,,,18,3,N1,Weaver,Minion Information,Standard,,,18,3,2,Jon,Stephen,4,FALSE,FALSE,,18,3,1,Weaver,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,3,Stephen,Imp,,FALSE,,18,3,N1,Stephen,Demon Information,Standard,,,18,3,3,Tim,Frosty,6,TRUE,TRUE,,18,3,1,Dice,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,3,Lyra,Monk,,FALSE,,18,3,N1,Dice,Bureaucrat Ability,Stephen,,,18,3,4,Frosty,Tim,4,FALSE,FALSE,,18,3,1,Tim,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,3,Frosty,Virgin,,FALSE,,18,3,N1,Tim,Fortune Teller Information,Lyra|Frosty|Yes,,,18,3,5,Jordan,Dice,3,FALSE,FALSE,,18,3,1,Jon,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,3,Tanfana,Undertaker,,FALSE,,18,3,D1,Jordan,Nomination,Tanfana,V1,,18,3,6,Jordan,Jon,3,FALSE,FALSE,,18,3,1,Sam,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,3,Lyphoon,Mayor,,FALSE,,18,3,D1,Jon,Nomination,Stephen,V2,,18,3,7,Jon,Tim,5,TRUE,FALSE,,18,3,1,Jordan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,3,Weaver,Baron,,FALSE,,18,3,D1,Tim,Nomination,Frosty,V3,,18,3,8,Tim,Sam,6,TRUE,TRUE,,18,3,1,Stephen,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,3,Dice,Bureaucrat,Evil,FALSE,,18,3,D1,Frosty,Nomination,Tim,V4,,,,,,,,,,,18,3,1,Lyra,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,3,Tim,Drunk,Fortune Teller,FALSE,,18,3,D1,Frosty,Executed,,,,,,,,,,,,,18,3,1,Frosty,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
