Date,Session,Game Number,Script,Result,PlayerCount,,Session,Game Number,Player,Role,Notes,Alignment Switch,,Session,Game Number,Phase,Player,Action,Target,Note,,Session,Game Number,Vote Number,Player,Target,Total Votes,On the Block,Executed,,Session,Game Number,Vote Number,Player,Voted,Dead,Dead Vote Used,,,,,,,,,,,,,,,,,,,,,,,,
03/07/2022,19,3,Trouble Brewing,Good,7,,19,3,Alejo,ST,,,,19,3,N1,Shaun,Minion Information,Standard,,,19,3,1,Jordan,Lyphoon,4,TRUE,FALSE,,19,3,1,Lycan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19,3,Piranha,Mayor,,FALSE,,19,3,N1,Tanfana,Demon Information,Standard,,,19,3,2,Weaver,Weaver,5,TRUE,TRUE,,19,3,1,Tanfana,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19,3,Jordan,Undertaker,,FALSE,,19,3,N1,Weaver,Investigator Information,No Minion In Play,,,19,3,3,Lycan,Tanfana,4,FALSE,FALSE,,19,3,1,Weaver,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19,3,Shaun,Spy,,FALSE,,19,3,N1,Lycan,Empath Number,1,,,19,3,4,Lycan,Tanfana,4,TRUE,TRUE,,19,3,1,Piranha,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19,3,Lyphoon,Fortune Teller,,FALSE,,19,3,N1,Lyphoon,Fortune Teller Information,Weaver|Tanfana|Yes,,,19,3,5,Piranha,Shaun,3,FALSE,FALSE,,19,3,1,Jordan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19,3,Lycan,Empath,,FALSE,,19,3,D1,Jordan,Nomination,Lyphoon,V1,,19,3,6,Shaun,Lycan,1,FALSE,FALSE,,19,3,1,Shaun,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19,3,Tanfana,Imp,,FALSE,,19,3,D1,Weaver,Nomination,Weaver,V2,,19,3,7,Tanfana,Jordan,3,FALSE,FALSE,,19,3,1,Lyphoon,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19,3,Weaver,Investigator,,FALSE,,19,3,D1,Lycan,Nomination,Tanfana,V3,,,,,,,,,,,19,3,2,Piranha,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19,3,Bluff,Soldier,,FALSE,,19,3,D1,Weaver,Executed,,,,,,,,,,,,,19,3,2,Jordan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19,3,Bluff,Monk,,FALSE,,19,3,N2,Tanfana,Demon Kill,Piranha,,,,,,,,,,,,19,3,2,Shaun,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19,3,Bluff,Slayer,,FALSE,,19,3,N2,Piranha,Mayor Kill,Jordan,,,,,,,,,,,,19,3,2,Lyphoon,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
