Date,Session,Game Number,Script,Result,PlayerCount,,Session,Game Number,Player,Role,Notes,Alignment Switch,,Session,Game Number,Phase,Player,Action,Target,Note,,Session,Game Number,Vote Number,Player,Target,Total Votes,On the Block,Executed,,Session,Game Number,Vote Number,Player,Voted,Dead,Dead Vote Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2022,20,1,Bad Moon Rising,Good,11,,20,1,Permzilla,ST,,,,20,1,N1,Dice,Minion Information,Standard,,,20,1,1,Tim,Stephen,8,TRUE,TRUE,,20,1,1,Sam,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Alejo,ST,,,,20,1,N1,Sam,Minion Information,Standard,,,20,1,2,Lyra,Weaver,5,TRUE,TRUE,,20,1,1,Tim,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Frosty,Courtier,,FALSE,,20,1,N1,Weaver,Demon Information,Standard,,,20,1,3,Weaver,Lyphoon,2,FALSE,FALSE,,20,1,1,Lyphoon,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Tanfana,Innkeeper,,FALSE,,20,1,N1,Tim,Drinking Buddy,Jordan,,,20,1,4,Tim,Tim,3,FALSE,FALSE,,20,1,1,Jordan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Lyra,Tea Lady,,FALSE,,20,1,N1,Jordan,Drunked,,,,20,1,5,Dice,Sam,2,FALSE,FALSE,,20,1,1,Weaver,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Dice,Assassin,,FALSE,,20,1,N1,Sam,Godfather Information,No outsiders,,,,,,,,,,,,20,1,1,Lycan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Stephen,Grandmother,,FALSE,,20,1,N1,Weaver,Pukka Poison,Jordan,,,,,,,,,,,,20,1,1,Frosty,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Sam,Godfather,,FALSE,,20,1,N1,Stephen,Grandmother Information,Tanfana|Innkeeper,,,,,,,,,,,,20,1,1,Tanfana,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Tim,Sailor,,FALSE,,20,1,D1,Tim,Nomination,Stephen,V1,,,,,,,,,,,20,1,1,Lyra,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Lyphoon,Professor,,FALSE,,20,1,D1,Stephen,Executed,,,,,,,,,,,,,20,1,1,Dice,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Jordan,Exorcist,,FALSE,,20,1,N2,Tim,Drinking Buddy,Frosty,,,,,,,,,,,,20,1,1,Stephen,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Weaver,Pukka,,FALSE,,20,1,N2,Frosty,Drunked,,,,,,,,,,,,,20,1,2,Lycan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Lycan,Fool,,FALSE,,20,1,N2,Tanfana,Innkeeper Protect,Tanfana|Dice,,,,,,,,,,,,20,1,2,Frosty,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Bluff,Chambermaid,,,,20,1,N2,Tanfana,Drunked,,,,,,,,,,,,,20,1,2,Tanfana,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Bluff,Gossip,,,,20,1,N2,Jordan,Exorcist Pick,Weaver,,,,,,,,,,,,20,1,2,Lyra,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1,Bluff,Minstrel,,,,20,1,N2,Weaver,Pukka Poison,Tim,,,,,,,,,,,,20,1,2,Dice,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,1,D2,Lyra,Nomination,Weaver,V2,,,,,,,,,,,20,1,2,Stephen,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,1,D2,Weaver,Nomination,Lyphoon,V3,,,,,,,,,,,20,1,2,Sam,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,1,D2,Tim,Nomination,Tim,V4,,,,,,,,,,,20,1,2,Tim,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,1,D2,Dice,Nomination,Sam,V5,,,,,,,,,,,20,1,2,Lyphoon,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,1,D2,Weaver,Executed,,,,,,,,,,,,,20,1,2,Jordan,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,1,D2,,Game End,,Demon Executed,,,,,,,,,,,20,1,2,Weaver,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,3,Jordan,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,3,Weaver,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,3,Lycan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,3,Frosty,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,3,Tanfana,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
