Date,Session,Game Number,Script,Result,PlayerCount,,Session,Game Number,Player,Role,Notes,Alignment Switch,,Session,Game Number,Phase,Player,Action,Target,Note,,Session,Game Number,Vote Number,Player,Target,Total Votes,On the Block,Executed,,Session,Game Number,Vote Number,Player,Voted,Dead,Dead Vote Used,,,,,
17/07/2022,21,1,A Day to Remember,Good,13,,21,1,Alejo,ST,,,,21,1,N1,Weaver,Amnesiac Ability,"Your neighbours, if good, start knowing who you are.",,,21,1,1,Permzilla,Permzilla,11,TRUE,TRUE,,21,1,1,Piranha,TRUE,FALSE,FALSE,,,,,
,,,,,,,21,1,Navean,ST,,,,21,1,N1,Lyphoon,Knows Widow,,,,,,,,,,,,,21,1,1,Stephen,FALSE,TRUE,FALSE,,,,,
,,,,,,,21,1,Jordan,Dreamer,,FALSE,,21,1,N1,Lyphoon,Chef Number,0,,,,,,,,,,,,21,1,1,Tanfana,TRUE,TRUE,FALSE,,,,,
,,,,,,,21,1,Lyphoon,Chef,,FALSE,,21,1,N1,Sam,Empath Number,0,,,,,,,,,,,,21,1,1,Tim,TRUE,TRUE,FALSE,,,,,
,,,,,,,21,1,Dice,Clockmaker,,FALSE,,21,1,N1,Dice,Clockmaker Number,3,,,,,,,,,,,,21,1,1,Weaver,TRUE,TRUE,FALSE,,,,,
,,,,,,,21,1,Sam,Empath,,FALSE,,21,1,N1,Jordan,Dreamer Check,Frosty|Slayer|Scarlet Woman,,,,,,,,,,,,21,1,1,Lyra,TRUE,FALSE,FALSE,,,,,
,,,,,,,21,1,Permzilla,Atheist,,FALSE,,21,1,N1,Piranha,Seamstress Pick,Jordan|Frosty|No,,,,,,,,,,,,21,1,1,Lycan,TRUE,FALSE,FALSE,,,,,
,,,,,,,21,1,Piranha,Seamstress,,FALSE,,21,1,N1,Tanfana,Chambermaid Choice,Tim|Stephen|0,,,,,,,,,,,,21,1,1,Frosty,FALSE,TRUE,FALSE,,,,,
,,,,,,,21,1,Stephen,Goon,,FALSE,,21,1,D1,Permzilla,Doomsay,,,,,,,,,,,,,21,1,1,Jordan,TRUE,FALSE,FALSE,,,,,
,,,,,,,21,1,Tanfana,Chambermaid,,FALSE,,21,1,D1,Tim,Killed,,Doomsay,,,,,,,,,,,21,1,1,Lyphoon,TRUE,TRUE,FALSE,,,,,
,,,,,,,21,1,Tim,Recluse,,FALSE,,21,1,D1,Jordan,Doomsay,,,,,,,,,,,,,21,1,1,Dice,TRUE,TRUE,FALSE,,,,,
,,,,,,,21,1,Weaver,Amnesiac,,FALSE,,21,1,D1,Dice,Killed,,Doomsay,,,,,,,,,,,21,1,1,Sam,TRUE,TRUE,FALSE,,,,,
,,,,,,,21,1,Lyra,Slayer,,FALSE,,21,1,D1,Lyra,Slayer Shot,Piranha,Miss,,,,,,,,,,,21,1,1,Permzilla,TRUE,FALSE,FALSE,,,,,
,,,,,,,21,1,Lycan,Cult Leader,,FALSE,,21,1,D1,Frosty,Doomsay,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21,1,Frosty,Klutz,,FALSE,,21,1,D1,Tanfana,Killed,,Doomsay,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Piranha,Doomsay,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Frosty,Killed,,Doomsay,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Frosty,Klutz Pick,Lyphoon,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Lyphoon,Doomsay,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Sam,Killed,,Doomsay,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Lycan,Forms a Cult,F|T|T|F|T|T|T|T|T|T|T|T|T,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Lyra,Doomsay,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Weaver,Killed,,Doomsay,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Stephen,Doomsay,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Stephen,Killed,,Doomsay,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Lycan,Doomsay,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Lyphoon,Killed,,Doomsay,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Permzilla,Nomination,Storyteller,V1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,Storyteller,Executed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,1,D1,,Game End,,Storyteller Executed - Atheist,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
