Date,Session,Game Number,Script,Result,PlayerCount,,Session,Game Number,Player,Role,Notes,Alignment Switch,,Session,Game Number,Phase,Player,Action,Target,Note,,Session,Game Number,Vote Number,Player,Target,Total Votes,On the Block,Executed,,Session,Game Number,Vote Number,Player,Voted,Dead,Dead Vote Used
27/03/2022,6,2,Bad Moon Rising,Evil,7,,6,2,Alejo,ST,,,,6,2,N1,Piranha,Drinking Buddy,Jordan,,,6,2,1,Piranha,Piranha,4,TRUE,TRUE,,6,2,1,Jordan,FALSE,FALSE,FALSE
,,,,,,,6,2,Jordan,Professor,,FALSE,,6,2,N1,Jordan,Drunk,,,,6,2,2,Jordan,Sam,2,FALSE,FALSE,,6,2,1,Tim,TRUE,FALSE,FALSE
,,,,,,,6,2,Tim,Po,,FALSE,,6,2,N1,Weaver,DA Protection,Tim,,,6,2,3,Jordan,Piranha,3,TRUE,TRUE,,6,2,1,Lycan,FALSE,FALSE,FALSE
,,,,,,,6,2,Lycan,Minstrel,,FALSE,,6,2,D1,Piranha,Nomination,Piranha,V1,,6,2,4,Lycan,Jordan,1,FALSE,FALSE,,6,2,1,Sam,TRUE,FALSE,FALSE
,,,,,,,6,2,Sam,Tea Lady,,FALSE,,6,2,D1,Jordan,Nomination,Sam,V2,,6,2,5,Piranha,Lycan,2,FALSE,FALSE,,6,2,1,Weaver,TRUE,FALSE,FALSE
,,,,,,,6,2,Weaver,Devil's Advocate,,FALSE,,6,2,D1,Piranha,Executed,,Protected,,6,2,6,Jordan,Tim,4,TRUE,FALSE,,6,2,1,Dice,TRUE,FALSE,FALSE
,,,,,,,6,2,Dice,Gambler,,FALSE,,6,2,N2,Piranha,Drinking Buddy,Tim,,,,,,,,,,,,6,2,1,Piranha,FALSE,FALSE,FALSE
,,,,,,,6,2,Piranha,Sailor,,FALSE,,6,2,N2,Piranha,Drunk,,,,,,,,,,,,,6,2,2,Weaver,FALSE,FALSE,FALSE
,,,,,,,6,2,Bluff,Innkeeper,,,,6,2,N2,Dice,Gambler Choice,Piranha|Fool,,,,,,,,,,,,6,2,2,Dice,FALSE,FALSE,FALSE
,,,,,,,6,2,Bluff,Gossip,,,,6,2,N2,Dice,Failed Gamble,,,,,,,,,,,,,6,2,2,Piranha,FALSE,FALSE,FALSE
,,,,,,,6,2,Bluff,Fool,,,,6,2,N2,Weaver,DA Protection,Sam,,,,,,,,,,,,6,2,2,Jordan,TRUE,FALSE,FALSE
,,,,,,,,,,,,,,6,2,N2,Tim,Demon Kill,Dice,Double Tap,,,,,,,,,,,6,2,2,Tim,TRUE,FALSE,FALSE
,,,,,,,,,,,,,,6,2,D2,Jordan,Nomination,Piranha,V3,,,,,,,,,,,6,2,2,Lycan,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,6,2,D2,Lycan,Nomination,Jordan,V4,,,,,,,,,,,6,2,2,Sam,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,6,2,D2,Piranha,Nomination,Lycan,V5,,,,,,,,,,,6,2,3,Jordan,TRUE,FALSE,FALSE
,,,,,,,,,,,,,,6,2,D2,Piranha,Executed,,,,,,,,,,,,,6,2,3,Tim,TRUE,FALSE,FALSE
,,,,,,,,,,,,,,6,2,N3,Weaver,DA Protection,Tim,,,,,,,,,,,,6,2,3,Lycan,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,6,2,N3,Tim,Po Charge,,,,,,,,,,,,,6,2,3,Sam,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,6,2,D3,Jordan,Nomination,Tim,V6,,,,,,,,,,,6,2,3,Weaver,TRUE,FALSE,FALSE
,,,,,,,,,,,,,,6,2,D3,Tim,Executed,,Protected,,,,,,,,,,,6,2,3,Dice,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,6,2,N4,Weaver,DA Protection,Lycan,,,,,,,,,,,,6,2,3,Piranha,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,6,2,N4,Tim,Demon Kill,Sam,,,,,,,,,,,,6,2,4,Tim,FALSE,FALSE,FALSE
